Tempo,Empuxo,Pressao
12274,-30.623379,0.000000
12298,-30.857143,0.000000
12323,7.714286,0.000000
12349,-21.389610,0.000000
12374,-39.155846,0.000000
12398,-58.558445,0.000000
12423,-34.246754,0.000000
12447,-21.623377,0.000000
12472,-15.662338,0.000000
12496,-15.896105,0.000000
12521,-29.688313,0.000000
12545,-39.155846,0.000000
12569,-45.584419,0.000000
12594,-33.311691,0.000000
12618,-52.714287,0.000000
12643,-50.025974,0.000000
12667,-54.584419,0.000000
12692,-11.805195,0.000000
12716,-17.532469,0.000000
12741,-27.000002,0.000000
12765,-43.480522,0.000000
12789,-15.194806,0.000000
12814,-18.000000,0.000000
12840,-35.532471,0.000000
12865,-21.857143,0.000000
12889,-49.558445,0.000000
12916,-12.155845,0.000000
12944,-27.467533,0.000000
12968,-44.649353,0.000000
12993,-38.103897,0.000000
13017,-20.688313,0.000000
13041,-50.259743,0.000000
13066,-36.116886,0.000000
13090,-47.688313,0.000000
13115,-24.779222,0.000000
13139,-26.064936,0.000000
13164,-48.974030,0.000000
13188,-31.909092,0.000000
13212,-39.506496,0.000000
13237,-2.571429,0.000000
13261,-38.571430,0.000000
13286,-36.350651,0.000000
13313,-42.428574,0.000000
13337,-13.675325,0.000000
13362,-38.337666,0.000000
13386,-49.441559,0.000000
13410,-39.740261,0.000000
13435,-37.402599,0.000000
13459,-28.636364,0.000000
13484,56.688313,0.000000
13508,17.064936,0.000000
13533,10.636364,0.000000
13557,-18.701300,0.000000
13582,-52.246754,0.000000
13606,-17.649351,0.000000
13631,-19.402597,0.000000
13655,-25.948053,0.000000
13684,-48.623379,0.000000
13710,15.662338,0.000000
13734,5.727273,0.000000
13759,31.090910,0.000000
13783,-12.506494,0.000000
13810,38.805195,0.000000
13834,24.896105,0.000000
13859,-44.532471,0.000000
13883,-101.337669,0.000000
13908,-118.402603,0.000000
13932,-150.545456,0.000000
13956,-163.636368,0.000000
13981,-140.376633,0.000000
14005,-136.402603,0.000000
14030,-106.012993,0.000000
14054,-68.259743,0.000000
14079,-33.779221,0.000000
14103,-48.974030,0.000000
14128,-16.597403,0.000000
14152,-31.909092,0.000000
14177,-16.363638,0.000000
14201,-29.805197,0.000000
14226,-43.129871,0.000000
14250,-51.545456,0.000000
14275,-53.181820,0.000000
14301,-32.025974,0.000000
14325,-32.142857,0.000000
14350,12.155845,0.000000
14374,24.311689,0.000000
14398,53.064938,0.000000
14427,2.688312,0.000000
14453,-0.233766,0.000000
14477,-18.935066,0.000000
